,region,time,iso,gdp_percapita_mean,gdp_percapita_std
14385,CYM.1_1,2011,CYM,,
14386,CYM.1_1,2012,CYM,,
14387,CYM.1_1,2013,CYM,,
14388,CYM.2_1,1992,CYM,,
14389,CYM.2_1,1993,CYM,,
14390,CYM.2_1,1994,CYM,,
14391,CYM.2_1,1995,CYM,,
14392,CYM.2_1,1996,CYM,,
14393,CYM.2_1,1997,CYM,,
14394,CYM.2_1,1998,CYM,,
14395,CYM.2_1,1999,CYM,,
14396,CYM.2_1,2000,CYM,,
14397,CYM.2_1,2001,CYM,,
14398,CYM.2_1,2002,CYM,,
14399,CYM.2_1,2003,CYM,,
14400,CYM.2_1,2004,CYM,,
14401,CYM.2_1,2005,CYM,,
14402,CYM.2_1,2006,CYM,,
14403,CYM.2_1,2007,CYM,,
14404,CYM.2_1,2008,CYM,,
14405,CYM.2_1,2009,CYM,,
14406,CYM.2_1,2010,CYM,,
14407,CYM.2_1,2011,CYM,,
14408,CYM.2_1,2012,CYM,,
14409,CYM.2_1,2013,CYM,,
14410,CYM.3_1,1992,CYM,,
14411,CYM.3_1,1993,CYM,,
14412,CYM.3_1,1994,CYM,,
14413,CYM.3_1,1995,CYM,,
14414,CYM.3_1,1996,CYM,,
